Feature_ID	Feature	Possible Values	Language_ID	Value	Source	Comment	Contributed_Datapoints	Clarifying comments	Relevant unit(s)	Function	Form	Patron
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent						An action nominalization derives from a verb and functions like a noun or noun phrase. The result denotes an action or state. In English, we can exemplify this with *the enemy’s **destruction** of the city*. *Arrive* - ***arriving*** could also serves as an example, or, in Spanish, *La **concentración** de Sherlock Holmes duró cinco horas.* ‘Sherlock Holmes’ **concentration** lasted five hours’. This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. There needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity) derivation. The derived noun may also refer to states or events in addition to actions. The nominalization strategy may also derive other types of nominalization. Compounds of a verb root and a noun meaning 'action', 'state' or 'event are not action nominalizations unless further grammaticalized.	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig Skirgård
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent						An agent nominalization derives from a verb and functions like a noun or noun phrase. The result denotes the agent of an action. In English, we can exemplify this with the productive _-er_ suffix (_bak-er_, _fish-er_, *garden-er*, etc.). This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. This derivation pattern needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity). Compounds of a verb root and a noun meaning 'person' are likely not agent nominalizations.	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig Skirgård
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent						An object nominalization derives from a verb and functions like a noun or noun phrase. The result denotes the object or result of an action (e.g. *song* is derived from *to sing*). This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. There needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity) derivation for this feature to be coded 1. The nominalization strategy may also derive other types of nominalization. A compound of a verb root and a noun meaning 'thing' is not an object nominalization unless there is evidence that the noun has grammaticalized into an affix. Instrument derivations are not relevant since they do not denote the object resulting from the action/state.	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig Skirgård
GB051	Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?	1: present, 0: absent						A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether the categories _masculine_ and _feminine_ are relevant for noun class/gender assignment in a given language. A contrast between these categories in a noun class/gender system serves as a minimal criterion for this feature to be coded 1. Languages that overtly mark only one of these categories (e.g. feminine, with an unmarked class interpreted as non-feminine) do encode the relevant distinction and should be coded 1. A language may encode other socially or culturally relevant gender distinctions, and there may be cross-linguistic and cross-cultural differences in the semantics and membership of masculine and feminine categories. A language may also categorize nouns based on other factors entirely (e.g. shape, animacy, phonological properties). For the purposes of this feature, grammatical categories other than masculine and feminine should be disregarded.  The use of these two specific categories in the definition of this feature is meant to enable consistent coding and interpretation of data for a narrowly-defined, cross-linguistically common distinction. This is not meant to represent social or cultural gender constructs or particular biological traits, nor is it intended to reflect the full diversity of grammatical gender systems. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).	noun	gender	declension	Hannah J. Haynie
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent						A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether the shape of an object is one of these factors for a given language. There must be a clear preference for certain nouns to be classified to certain gender categories as a result of their _shape_ for this feature to be coded 1. That is, shape must be one relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment.  Note that noun class markers are sometimes used to mark diminutives and augmentatives; this feature focuses specifically on shape (e.g. long, round, square, wide) and should _not_ be coded 1 if noun class markers associated with some other semantic categories (e.g. masculine and feminine) are recruited for diminutive and augmentative forms unless there is some other clear shape-based assignment.	noun	gender	declension	Hannah J. Haynie
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent						A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether the animacy of a noun is one of these factors for a given language. There must be a clear preference for certain nouns to be classified in certain gender categories as a result of their animacy for this feature to be coded 1. That is, animacy must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment.  Note that while masculine and feminine categories are generally associated with animate referents, a gender system that makes a distinction between these categories is not necessarily sufficient to trigger a 1 here. A gender system in which animacy is a relevant factor will often make a distinction between human or animal referents and non-living referents, and animate status may be extended to culturally important non-living entities (e.g. mythological figures) or objects (e.g. celestial bodies). A human/non-human distinction is sufficient for a 1 code.	noun	gender	declension	Hannah J. Haynie
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent						A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether one of these factors distinguishes plants from other concepts. For this feature to be coded 1, there must be a clear pattern in which nouns that refer to plants or some subset of plant referents are assigned to one or more specific noun classes.  Although the semantic factors in noun class/gender assignment are not always perfectly clear-cut, this feature targets those systems in which certain nouns are assigned to a particular class *because* their referents are plants. Systems in which several nominals with plant referents are assigned to a particular class because of their phonology or due to some more or less arbitrary assignment are not the target of this feature. That is, plant status must be a relevant factor in the assignment of gender. However, it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment for a particular category.	noun	gender	declension	Hannah J. Haynie
GB057	Are there numeral classifiers?	1: present, 0: absent						This question concerns whether some cardinal numerals [obligatorily](https://github.com/grambank/Grambank/wiki/Obligatoriness) occur with a marker that varies depending on the modified noun. This marker should not be the same as a marker of a [noun class/gender system](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) used also on noun modifiers other than cardinal numerals (e.g. demonstratives) or on predicates. The nouns in question should be of high countability, such as people, animals and objects, rather than of low countability, such as water, sand and smoke.	numeral, classifier, NP	nominal classification, quantification, attribution	declension, paradigm, special construction, particle	Jay Latarche and Jeremy Collins
GB058	Are there possessive classifiers?	1: present, 0: absent						This question concerns whether there is an independent [classifier](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) system in possessive constructions that is not related to other nominal classification systems such as the gender/noun class of the language or numeral classifiers.  We are concerned with markers that signal the nature of the possessor (possessor classifiers) or the possessum (possessed classifiers). This feature applies to both pronominal/nominal possessors and markers which are [bound or free](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence). Possessive classifiers need not be obligatory, it may also be possible to construct possessive phrases without possessive classifiers.  Differences in the expression of individual, joint, separate and group possession are not relevant here.	noun, classifier, NP	attributive possession, attribution, nominal classification	declension, paradigm, special construction, particle	Jay Latarche and Jeremy Collins
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent						Is there a morpho-syntactic difference in attributive possession that can be ascribed to alienability?  This feature applies to constructions with both pronominal and nominal possessors.  Typically, inalienable possession applies to the semantic domains of body parts and kinship, but it is sometimes found in other categories that do not align perfectly with the canonical notion of 'alienability', such as part-whole relationships other than body parts, social relationships other than kinship, or things inherently linked to a person (e.g. a person's voice, mental states, or other attributes).  This feature targets splits in possessive marking where different classes of possessum are associated with different constructions, and where one of those possessum classes includes body parts and/or kinship terms, and possibly other categories that have strong semantic associations with their owners, social relationships, or part-whole relationships.	noun, NP	attributive possession, attribution, alienability	declension, special construction, particle	Hannah J. Haynie
GB065	What is the pragmatically unmarked order of adnominal possessor and possessed noun?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both						This feature focuses on the relative order of possessor and possessum (i.e. that which is possessed) in an adnominal possession construction. Coding should take into consideration only those possession constructions that are pragmatically unmarked (e.g. not focus). This feature applies to both nominal possessors and [independent pronominal](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) possessors. [Affixal](https://github.com/grambank/grambank/wiki/Affixes-and-clitics) marking of possession, by contrast, is coded in features [GB430](https://github.com/grambank/Grambank/wiki/GB430)-[GB433](https://github.com/grambank/Grambank/wiki/GB433).	noun, NP, index	attributive possession, attribution	word order	Hannah J. Haynie
GB068	Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent						Do property words used as predicates take on verbal morphology? The predicative property word need not take exactly all verbal marking. If there is at least some marking that verbs and predicative property words share, this counts as 1 (for example, if a language has *he runs* and *he greens*). However, if there is additional morphology or there are additional elements that the property word requires, then this feature should be coded as 0. This should apply to most property words in the language. Property words semantically roughly correspond to adjectives in those languages that have a separate adjective word class. We want to include elements that mark ‘adjectival’ function but that might not be described as ‘adjectives’.	adjective, verb, index	predication, TAM, tense, aspect, mood, modality, nominal classification, gender	declension, conjugation, indexing	Jay Latarche and Jeremy Collins
GB069	Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	1: present, 0: absent						Do adnominal property words receive the same treatment as verbs when verbs are used attributively, i.e. inside an NP? The adnominal property word need not take exactly all verbal marking. If there is at least some marking that verbal and adnominal property words share, this counts as 1. The result need not be finite: participles count as attributively used verbs. This means that if the language in question forms modifying verbs by participles (*the running man*) and this is the same for adnominal property word roots (*the redding man*), this counts as 1. Property words semantically correspond to adjectives in those languages that have a separate adjective word class. We want to include elements that mark 'adjectival' function but that might not be described as 'adjectives.'	adjective, verb, index	attribution, TAM, tense, aspect, mood, modality, nominal classification, gender	declension, conjugation, indexing	Jay Latarche and Jeremy Collins
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?	1: present, 0: absent						Morphological case involves any type of case marking (or flagging) that is [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) (affixes, clitics, tone, alternation, vowel lengthening, etc.). [Core arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) are those having S, A or P function. If a bound marker distinguishes S from non-S NPs, this counts for a 1 code. Optional marking and marking with portmanteau morphemes (e.g. a marker both indicates that a noun phrase is plural and that it has P function) also count.	noun, NP, case marker	argument marking, core arguments	declension, flagging	Jakob Lesage
GB071	Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?	1: present, 0: absent						This question is about [phonologically independent pronouns](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) only; indexes are irrelevant. Morphological case involves any type of case marking that is [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) (affixes, clitics, tone, alternation, vowel lengthening, etc.). Core arguments are those having [S, A or P function](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)). If a bound marker distinguishes S from non-S pronouns, this counts as 1. Optional marking and marking with portmanteau morphemes (e.g. a marker both indicates that a noun phrase is plural and that it has P function) also count.	pronoun, case marker	argument marking, core arguments	declension, flagging	Jakob Lesage
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?	1: present, 0: absent						Morphological case involves any type of case marking that is [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) (affixes, clitics, tone, alternation, vowel lengthening, etc.). Oblique NPs are NPs having a function other than [S, A or P](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)), e.g. dative, locative, ablative instrumental, comitative, location in time, etc. If a phonologically free adposition agrees in gender, number or person with the noun phrase, it does not count as a case marker for the purpose of this feature. Note that genitive or possessive are not seen as cases for this feature.	noun, NP, case marker	argument marking, oblique	declension, flagging	Jakob Lesage
GB073	Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?	1: present, 0: absent						Are phonologically independent personal pronouns morphologically marked for oblique case (i.e. not [S, A or P](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)))? Morphological case involves any type of case marking (or flagging) that is [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) (affixes, clitics, tone, alternation, vowel lengthening, etc.). Suppletion also counts as case marking for this feature. Oblique NPs are NPs having a function other than S, A or P, e.g. dative, locative, ablative, instrumental, comitative, location in time, etc. Note that genitive or possessive are not seen as cases for this feature.	pronoun, case marker	argument marking, oblique	declension, flagging	Jakob Lesage
GB074	Are there prepositions?	1: present, 0: absent						A preposition indicates the relationship of a noun phrase to the verb in a clause. This relationship could be circumstantial (e.g. locative, temporal, etc.) or a [core argument function (S, A or P)](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)). A preposition precedes the noun phrase it occurs with. Proclitics with this function count as prepositions in Grambank. This means that [phonological boundness](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) is not relevant to this question. Circumpositions count both as prepositions and as postpositions. Inpositions (which occur somewhere in between words in a noun phrase) do not count as prepositions. Nouns that express the function of an adposition in a possessive construction (e.g. ***inside** of the car* to mean 'in the car') only count if they are visibly grammaticalized and no longer fully behave like nouns. If there is only one preposition, this is enough for a 1 here.	noun, NP, case marker, adposition	argument marking, core arguments, oblique	word order, flagging	Jakob Lesage
