ID,Name,Description,Photo,Roles
JG,Jemima A. Goodall,Jemima Goodall is a Grambank coder based at the SOAS/ELDP university team in London. She is currently a Linguistics BA student at UCL.,Jemima.jpg,Coder
JH,Jane Hill,,,Coder
JI,Jessica K. Ivani,"Jessica Katiuscia Ivani is a PhD student at the University of Pavia, conducting typological research on the morphosyntax of grammatical features, with a focus on nominal number and gender. Within Glottobank, she is involved in the Parabank project.",,Coder
JK,Janina V. Klingenberg,Janina Klingenberg is a master student of general linguistics at the university of Hamburg with a bachelors degree in Spanish philology and empirical linguistics. She is interested in interrogative constructions and multilingualism. Her role in Grambank is to code languages.,janina_klingenberg.png,Coder
JLA,Jay Latarche,"Jay Latarche is the team coordinator (and coder) at SOAS/ELDP University, London, and particularly enjoys coding from East Asian language families. He is currently interested in conducting further research on logogram amnesia in Mainland China. He is also interested in transgender specific speech patterns in Mandarin Chinese.",Jay.jpg,"Patron, Node leader, Coder"
JLE,Jakob Lesage,"Jakob Lesage PhD (INALCO at LLACAN, 2020) specializes in language description, language documentation and linguistic typology. He focuses on African languages, particularly on Kam and other less documented languages of Nigeria. Jakob is a Grambank patron and longtime coder.",lesage.jpg,"Patron, Node leader, Coder"
JM,Jaime Montoya,"Jaime Montoya is a Grambank coder from Lima, Peru.",,Coder
JN,Johanna Nickel,"Johanna Nickel is a master's student at CAU Kiel, where she studies Language & Variation and Scandinavian studies. Her role at Grambank is to code languages.",Johanna_Nickel.JPG,Coder
JOE,Johannes Englisch,,,Database manager
JP,Jesse Peacock,,,Coder
JPE,Jana Peter,,,Coder
JR,Janis Reimringer,,,Coder
JRI,Julia Rizaew,"Julia Rizaew is an MA Translation student at SOAS/ELDP University of London and a language coder at Grambank. She has background in Japanese and Linguistics, and is interested particularly in East Asian languages.",julia_rizaew.jpg,Coder
JS,Jane Simpson,,,Coder
JSA,Jill Sammet,"Jill Sammet is a master's student at CAU Kiel, studying Language & Variation and Computer Science. Her task at Grambank is to code languages.",sammet.jpg,Coder
JSI,Jeff Siegel,,,Coder
JV,Judith Voß,,,Coder
JVE,Javier Vera,,,Coder
JW,Jana Fischer,"Jana Fischer is a master's student of Language & Variation and English Language, Literature & Lingustics at CAU Kiel. She has an interest in creoles. Her role in Grambank is to code languages.",JanaWinkler.jpg,Coder
JY,Jingting Ye 葉婧婷,,,Coder
KA,Noor Karolin Abbas,,,Coder
KK,Aikaterina Koti,,,Coder
KLL,Kate Lynn Lindsey,,,Coder
KN,Kelsey Neely,,,Coder
KR,Kristian Roncero Toledo,,,Coder
KS,Kristin Sverredal,,,Coder
KSA,Kim K. Salmon,"Kim Salmon is an undergrad student of linguistics at the University of Leipzig and has been coding languages for Grambank since 2020. She is mostly interrested in morphology and lexicology as well as language change, variety and contact phenomena.",kim_salmon.jpg,Coder
LC,Lennart Chevallier,Lennart Chevallier codes languages for Grambank. He is a master student at CAU Kiel studying Language and Variation and Political Science.,lennart_chevallier.jpg,Coder
LD,Luise Dorenbusch,"Luise Dorenbusch studied linguistics in Leipzig and Nijmegen and has worked at the MPI for Evolutionary Anthropology and the MPI for Psycholinguistics. Currently based in Leipzig, she codes language data for Grambank with a focus on the non-Pama-Nyungan languages of Australia.",Luise.png,Coder
LH,Leonard Heer,,,Coder
LM,Luke Maurits,,,Methods-team
LP,Leah Pappas,,,Coder
LR,Linda Raabe,"Linda Raabe is a bachelor student at CAU Kiel, where she studies empirical linguistics. Her role in Grambank is to code languages.",,Coder
LS,Lars Schlabbach,,,Coder
MB,Mitchell Browen,,,Coder
MD,Michael Dunn,Michael Dunn studies the evolution of language structure and the history of language families. His work combines traditional linguistic methods with computational (phylogenetic) approaches from the biological and ecological sciences. Michael is Professor of General Linguistics at Uppsala University in Sweden.,michael_dunn.jpg,"Coder, Senior advisor"
MDU,Marie Duhamel,,,Coder
MH,Martin Haspelmath,Martin Haspelmath is a senior scientist at MPI-EVA Leipzig and a professor at Leipzig University. He was one of the creators of the World Atlas of Language Structures (2005) and was heavily involved in feature design in the Atlas of Pidgin and Creole Language Structures (2013). He is a senior advisor in the Grambank project.,martin_haspelmath.png,"Coder, Senior advisor"
MJ,Marilen Johns,"Marilen Johns is a Master's Student at CAU Kiel and is coding languages for Grambank. She is studying Language and Variation and European Ethnography, and is interested in the differences of vulgar speech between English and German.",Marilen.png,Coder
ML,Mandy Lorenzen,Mandy Lorenzen is a bachelor student in Empirical Linguistics and German at CAU Kiel. Her role in Grambank is to code languages.,Mandy.jpg,Coder
MLM,Marvin Leonard Martiny,"Marvin Martiny is a Grambank coder from southwest Germany. He has been working on the topic of grammaticalization in the MAGRAM project at the Johannes Gutenberg-University Mainz, where he will start his PhD (on future grams in SAILs) in short. His linguistic interests vary from neurolinguistics to historical linguistics.",marvin_martiny.jpg,Coder
MM,Michael Müller,,,Coder
MN,Miina Norvik,,,Coder
MP,Mariana Poblete,Mariana is a chilean-venezuelan Grambank coder currently located in Perú.,,Coder
MRU,Manuel Rüdisühli,"Manuel Rüdisühli is a Grambank coder from Zurich, Switzerland. He is currently completing graduate studies at the University of Zurich in Evolutionary Linguistics and Biology with a thesis on adjacent and non-adjacent dependency processing in meerkats.",manuel_ruedisuehli.jpg,Coder
MY,Maisie Yong,"Maisie Yong is a BA Japanese and Linguistic student at SOAS/ELDP, University of London and is a language coder for Grambank. Versed in both Mandarin and English, she codes mostly for Sino-Tibetan languages whose grammars are written in Mandarin. She inadvertently speaks Singlish when exasperated.",maisie_yong.jpg,Coder
NB,Nancy A. Bakker,Nancy Bakker (formerly Nancy Poo) studied German and English in Potsdam as well as linguistics and Islamic Studies in Kiel. She is now a teacher for German as a foreign language and codes languages for Grambank.,Nancy.jpg,Coder
NE,Nicholas Evans,Nick Evans is a typologist and anthropological linguist specialising in Australian and Papuan languages. He is an ARC Laureate Professor at the Australian National University and director of the ARC Research Centre for the Dynamics of Language (CoEDL). Within Glottobank he is a member of the Parabank Collective and an Associated Collaborator in Grambank.,nick_evans.jpg,"Coder, Senior advisor"
NH,Nataliia Hübler,"Nataliia Hübler (formerly Natalia Neshcheret) studied Language and Variation and German linguistics at CAU Kiel, where she started coding languages. Now she is a PhD student within Eurasia3angle project at the MPI SHH in Jena. She is exploring the history of Transeurasian languages on the basis of their structural features by applying phylogenetic methods.",Natalia.png,Coder
NK,Nikita König,,,Coder
NL,Nora  L. M. Lindvall,,,Coder
NP,Naomi Peck,"Naomi Peck is a Grambank coder from the ANU node. She is currently a PhD student at the Johannes Gutenberg-University Mainz, where she is working on a description of Kera'a (Idu Mishmi), a Tibeto-Burman language of North-East India.",naomi_peck.jpg,Coder
NW,Nicholas Williams,,,Coder
OK,Olga Krasnoukhova,Olga Krasnoukhova is a member of the Grambank project and is responsible for coding data on South American languages. Her research interests lie in linguistic typology and areal linguistics focusing on South American languages. Her doctoral thesis (2012) investigated syntactic and morphosyntactic characteristics of the Noun Phrase components. Olga is also one of the designers of the SAILS database (http://sails.clld.org/).,Olga.jpg,Coder
OO,Olga Olina,,,Coder
OS,Olena Shcherbakova,,,"Coder, Methods-team"
OV,Outi Vesakoski,,,Senior advisor
PE,Patience Epps,,,Coder
QDA,Quentin D. Atkinson,"Quentin Atkinson is Professor in Psychology at the University of Auckland and co-director of the Language, Culture and Cognition Lab. His research uses computational modeling tools to study the evolution of language and culture. He is co-leader of Glottobank.",quentin_atkinson.jpg,"Methods-team, Senior advisor"
RB,Robert D. Borges,,,Coder
RBA,Russell Barlow,,,"Coder, Methods-team"
RD,Russell Dinnage,,,Methods-team
RDG,Russell D. Gray,"Russell Gray Ph.D. (Univ. Auckland), FRSNZ, is the Director of the Department of Linguistic and Cultural Evolution at the Max Planck Institute for the Science of Human History. He is sponsor and co-leader of Glottobank.",russell_gray.jpg,Project leader
RF,Robert Forkel,"Robert Forkel is responsible for strategies and infrastructure for data curation and presentation within the consortium, bringing in the experiences gathered in the CLLD project.",robert_forkel.jpg,Database manager
RHA,Rebekah Hayes,,,Coder
RHE,Roberto E. Herrera Miranda,Roberto E. Herrera Miranda is a research assistant working on the Grambank and Parabank projects since June 2015. He is based in Leipzig and works mostly on languages of the so-called Intermediate Area in the Americas.,,Coder
RK,Richard G. A. Kowalik,"Richard Kowalik is a PhD student at Stockholm University. His project is to write a grammar for South Saami, a small Finno-Ugric language spoken in Sweden and Norway. Within Grambank, he has been coding African languages and Uralic languages.",RichardKowalik.jpg,Coder
RSC,Rhiannon Schembri,"Rhiannon Schembri is a Grambank coder from the ANU node in Canberra. She is currently undertaking an undergraduate double degree in Science and Arts, majoring in biology and linguistics. She hopes to pursue research in computational methods for the study of human history in her postgraduate studies.",rhiannon_schembri.jpg,Coder
RSI,Ruth Singer,,,Coder
RZ,Roberto Zariquiey,,,"Node leader, Coder"
SA,Sunny Ananth,,,Coder
SCL,Stephen C. Levinson,Stephen Levinson is Director of the Max Planck Institute for Psycholinguistics. His work focusses on language diversity and its implications for theories of human cognition. He is a designer and senior advisor on the Grambank project.,stephen_levinson.jpg,Senior advisor
SD,Swintha Danielsen,,,Coder
SDO,Sinoël Dohlen,"Sinoël Dohlen is an undergrad student of Theoretical Linguistics at the University of Leipzig. He's also interested in typology, language change and the origin of language. His task is coding languages for Grambank.",sinoel_dohlen.png,Coder
SG,Samuel Griggs,,,Coder
SJG,Simon J. Greenhill,"Simon Greenhill studies how languages evolve using computational methods and large-scale cross-linguistic databases. He is currently a research fellow in the ARC Research Centre for the Dynamics of Language (CoEDL), and at the Max Planck Institute for the Science of Human History. His role in this project is design and analysis of Lexibank and Parabank.",Greenhill.jpeg,"Methods-team, Senior advisor"
SM,Saliha Muradoglu,,,Coder
SPA,Sam Passmore,,,Methods-team
SPE,Stephanie Petit,,,Coder
SPI,Sören Pieper,Sören Pieper is a Grambank coder from Kiel. He is in the final stages of his MA in Language and Variation and Political Science at the University of Kiel. He is currently writing his MA thesis in typology concerning the cross-linguistic diversity of antipassives.,Pieper.jpg,Coder
SR,Sydney C. Rey,Sydney Rey has an MA in Language Documentation and Description from SOAS/ELDP University of London. Her interests lie in syntax and diachronic variation in endangered North American languages as well as data accessibility and community-centric language documentation. She codes language structures for Grambank.,sydney_rey.jpg,Coder
SVM,Suzanne van der Meer,,,Coder
SY,Stephanie Yam,,,Coder
TM,Tânia R. A. Martins,,,Coder
TR,Tihomir Rangelov,,,Coder
TWE,Tobias Weber,"Tobias Weber is a research associate at the University of Kiel. His research interests include diachronic typology, grammatical relations, and the languages of Southeast Asia. Within Glottobank, he is involved in the Grambank project.",Tobias.jpg,"Node leader, Coder"
TWI,Tim Witte,,,Coder
TY,Tessa Yuditha,,,Coder
VG,Victoria Gruner,Victoria Gruner (who also likes to be called Vicky) joined the Grambank Leipzig Team in October 2020. She has a Bachelor's degree in Romance Studies from University Leipzig and her role in Grambank is to code languages.,victoria_gruner.jpg,Coder
WDS,Daniel Wikalier Smith,,,Coder
YGA,Yustinus Ghanggo Ate,"Yustinus Ghanggo Ate did his MA in General Linguistics at The Australian National University, Canberra, Australia. His research interests are descriptive linguistics, language documentation, theoretical linguistics (paradigm-based analysis and lexically-based analysis), language typology, and mother tongue-based education. He plans to do his PhD study in the future, documenting and describing an unknown and endangered language of eastern Indonesia.",Yustinus_Ghanggo_Ate.jpg,Coder
