ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,provenance,Family_name,Family_level_ID,Language_level_ID,level,lineage
aree1239,Are,Papunesia,-9.67147,149.999,aree1239,,JG_aree1239.tsv,Austronesian,aust1307,aree1239,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235/ared1234
argo1244,Argobba,Africa,10.6596,39.756,argo1244,,ML_argo1244.tsv,Afro-Asiatic,afro1255,argo1244,language,afro1255/semi1276/west2786/ethi1244/sout3078/tran1288/amha1244
arhu1242,Arhuaco,South America,10.7018,-73.6363,arhu1242,,RHE_arhu1242.tsv,Chibchan,chib1249,arhu1242,language,chib1249/core1252/magd1236/nort3000/arhu1241/east2571
arib1241,Aribwatsa,Papunesia,-6.72266,146.991,arib1241,,RSC_arib1241.tsv,Austronesian,aust1307,arib1241,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/lowe1411/busu1245
arig1246,Arigidi,Africa,7.56324,5.89556,arig1246,,NB_arig1246.tsv,Atlantic-Congo,atla1278,arig1246,language,atla1278/volt1241/benu1247/defo1239
arik1265,Arikapú,South America,-12.4878,-62.7261,arik1265,,RHE_arik1265.tsv,Nuclear-Macro-Je,nucl1710,arik1265,language,nucl1710/jabu1249
arom1237,Aromanian,Eurasia,40.616,21.2,arom1237,,MM_arom1237.tsv,Indo-European,indo1319,arom1237,language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/east2714
arop1242,Arop-Sissano,Papunesia,-3.06984,142.12,arop1242,,RSC_arop1242.tsv,Austronesian,aust1307,arop1242,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/scho1242/siau1243/siss1244/sera1271/siss1245
arop1243,Arop-Lokep,Papunesia,-5.31671,147.103,arop1243,,DP_arop1243.tsv,Austronesian,aust1307,arop1243,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/kora1297
aros1241,Arosi,Papunesia,-10.2441,161.432,aros1241,,NP_aros1241.tsv,Austronesian,aust1307,aros1241,language,aust1307/mala1545/cent2237/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243
arta1239,Arta,Papunesia,16.4185,121.656,arta1239,,RHA_arta1239.tsv,Austronesian,aust1307,arta1239,language,aust1307/mala1545/nort3238
asha1243,Asháninka,South America,-11.9311,-73.9073,asha1243,,SD_asha1243.tsv,Arawakan,araw1281,asha1243,language,araw1281/sout3131/kamp1244/prea1240/asha1244/asha1241/asha1242
ashe1272,Ashéninka Perené,South America,-10.9777,-74.9153,ashe1272,,JM_ashe1272.tsv,Arawakan,araw1281,ashe1272,language,araw1281/sout3131/kamp1244/prea1240/asha1244/asha1241/asha1242/ashe1271
asoa1238,Asoa,Africa,2.26818,26.7198,asoa1238,,JLE_asoa1238.tsv,Central Sudanic,cent2225,asoa1238,language,cent2225/mang1393/mang1424
assi1247,Assiniboine,North America,49.2923,-106.068,assi1247,,HPG_assi1247.tsv,Siouan,siou1252,assi1247,language,siou1252/core1249/miss1254/dako1257
asur1254,Asuri,Eurasia,21.5721,83.4562,asur1254,,JG_asur1254.tsv,Austroasiatic,aust1305,asur1254,language,aust1305/mund1335/nort3151/kher1245/mund1336/asur1255
asut1235,Asu (Tanzania),Africa,-4.17978,37.8323,asut1235,,JLA_asut1235.tsv,Atlantic-Congo,atla1278,asut1235,language,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/nort3209/pare1274/pare1277
atak1252,Atakapa,North America,30.9121,-93.0827,atak1252,,RHE_atak1252.tsv,,,atak1252,language,
atam1239,Atampaya,Australia,-11.0018,142.273,atam1239,,MD-GR-RSI_atam1239.tsv,Pama-Nyungan,pama1250,atam1239,language,pama1250/pama1251/nort2758/guda1246/nort3278/urad1238
atam1240,Ata Manobo,Papunesia,7.7789,125.499,atam1240,,JE_atam1240.tsv,Austronesian,aust1307,atam1240,language,aust1307/mala1545/grea1284/mano1276/cent2255/east2778/east2742/cent2088
atay1247,Atayal,Papunesia,24.5209,121.388,atay1247,,KS_atay1247.tsv,Austronesian,aust1307,atay1247,language,aust1307/atay1246
athp1241,Athpariya,Eurasia,26.8794,87.3296,athp1241,,EJ_athp1241.tsv,Sino-Tibetan,sino1245,athp1241,language,sino1245/hima1249/maha1306/kira1253/east2719/grea1285/athp1240
atii1237,Ati,Papunesia,11.1539,122.512,atii1237,,RHA_atii1237.tsv,Austronesian,aust1307,atii1237,language,aust1307/mala1545
aton1241,Atong (India),Eurasia,25.346508,90.658722,aton1241,,BHR_aton1241.tsv,Sino-Tibetan,sino1245,aton1241,language,sino1245/brah1260/bodo1279/koch1249
aulu1238,Aulua,Papunesia,-16.3579,167.697,aulu1238,,RSC_aulu1238.tsv,Austronesian,aust1307,aulu1238,language,aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/cent2269/mala1539/east2753/cent2315
auuu1241,Au,Papunesia,-3.53277,142.105,auuu1241,,NP_auuu1241.tsv,Nuclear Torricelli,nucl1708,auuu1241,language,nucl1708/auol1234
auye1238,Auye,Papunesia,-3.43705,136.096,auye1238,,HPG_auye1238.tsv,Nuclear Trans New Guinea,nucl1709,auye1238,language,nucl1709/pani1259/auye1239
avac1239,Avá-Canoeiro,South America,-13.6081,-48.1336,avac1239,,JM_avac1239.tsv,Tupian,tupi1275,avac1239,language,tupi1275/mawe1252/awet1245/tupi1276/tupi1281/guaj1258
avat1244,Avatime,Africa,6.8688,0.41314,avat1244,,HS_avat1244.tsv,Atlantic-Congo,atla1278,avat1244,language,atla1278/volt1241/kwav1236/kato1245/avat1243
avok1242,Avokaya,Africa,4.38639,29.9379,avok1242,,NH_avok1242.tsv,Central Sudanic,cent2225,avok1242,language,cent2225/moru1252/cent2043
awab1243,Awabakal,Australia,-33.12847,151.43555,awab1243,,CB-PE-AS_awab1243.tsv,Pama-Nyungan,pama1250,awab1243,language,pama1250/sout3135/news1235/yuin1243/kuri1270/hunt1235
awac1239,Awa-Cuaiquer,South America,1.21652,-78.3401,awac1239,,OK_awac1239.tsv,Barbacoan,barb1265,awac1239,language,barb1265/unun9945
awad1243,Awadhi,Eurasia,27.5907,82.4663,awad1243,,JI-NK_awad1243.tsv,Indo-European,indo1319,awad1243,language,indo1319/clas1257/indo1320/indo1321/indo1322/subc1234/east2726/awad1245
awad1244,Awad Bing,Papunesia,-5.59896,146.355,awad1244,,MM_awad1244.tsv,Austronesian,aust1307,awad1244,language,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/astr1247
awap1236,Awa (Papua New Guinea),Papunesia,-6.65534,145.714,awap1236,,RHA_awap1236.tsv,Nuclear Trans New Guinea,nucl1709,awap1236,language,nucl1709/kain1273/kain1274/gauw1235/awao1234
awar1248,Awara,Papunesia,-6.16986,146.372,awar1248,,ER_awar1248.tsv,Nuclear Trans New Guinea,nucl1709,awar1248,language,nucl1709/fini1244/fini1245/want1251/want1253
awar1249,Awar,Papunesia,-4.13554,144.836,awar1249,,RHA_awar1249.tsv,Lower Sepik-Ramu,lowe1437,awar1249,language,lowe1437/ramu1234/lowe1439/wagg1235/bosn1247
awet1244,Awetí,South America,-12.381944,-53.391944,awet1244,,EJ_awet1244.tsv,Tupian,tupi1275,awet1244,language,tupi1275/mawe1252/awet1245
