ID,Parameter_ID,Name,Description
GB107-1,GB107,1,present
GB108-0,GB108,0,absent
GB108-1,GB108,1,present
GB109-0,GB109,0,absent
GB109-1,GB109,1,present
GB110-0,GB110,0,absent
GB110-1,GB110,1,present
GB111-0,GB111,0,absent
GB111-1,GB111,1,present
GB113-0,GB113,0,absent
GB113-1,GB113,1,present
GB114-0,GB114,0,absent
GB114-1,GB114,1,present
GB115-0,GB115,0,absent
GB115-1,GB115,1,present
GB116-0,GB116,0,absent
GB116-1,GB116,1,present
GB117-0,GB117,0,absent
GB117-1,GB117,1,present
GB118-0,GB118,0,absent
GB118-1,GB118,1,present
GB119-0,GB119,0,absent
GB119-1,GB119,1,present
GB120-0,GB120,0,absent
GB120-1,GB120,1,present
GB121-0,GB121,0,absent
GB121-1,GB121,1,present
GB122-0,GB122,0,absent
GB122-1,GB122,1,present
GB123-0,GB123,0,absent
GB123-1,GB123,1,present
GB124-0,GB124,0,absent
GB124-1,GB124,1,present
GB126-0,GB126,0,absent
GB126-1,GB126,1,present
GB127-0,GB127,0,absent
GB127-1,GB127,1,present
GB129-0,GB129,0,absent
GB129-1,GB129,1,present
GB130-1,GB130,1,SV
GB130-2,GB130,2,VS
GB130-3,GB130,3,both
GB131-0,GB131,0,absent
GB131-1,GB131,1,present
GB132-0,GB132,0,absent
GB132-1,GB132,1,present
GB133-0,GB133,0,absent
GB133-1,GB133,1,present
GB134-0,GB134,0,absent
GB134-1,GB134,1,present
GB135-0,GB135,0,absent
GB135-1,GB135,1,present
GB136-0,GB136,0,absent
GB136-1,GB136,1,present
GB137-0,GB137,0,absent
GB137-1,GB137,1,present
GB138-0,GB138,0,absent
GB138-1,GB138,1,present
GB139-0,GB139,0,absent
GB139-1,GB139,1,present
GB140-0,GB140,0,absent
GB140-1,GB140,1,present
GB146-0,GB146,0,absent
GB146-1,GB146,1,present
GB147-0,GB147,0,absent
GB147-1,GB147,1,present
GB148-0,GB148,0,absent
GB148-1,GB148,1,present
GB149-0,GB149,0,absent
GB149-1,GB149,1,present
GB150-0,GB150,0,absent
GB150-1,GB150,1,present
GB151-0,GB151,0,absent
GB151-1,GB151,1,present
GB152-0,GB152,0,absent
GB152-1,GB152,1,present
GB155-0,GB155,0,absent
GB155-1,GB155,1,present
GB156-0,GB156,0,absent
GB156-1,GB156,1,present
GB158-0,GB158,0,absent
GB158-1,GB158,1,present
GB159-0,GB159,0,absent
GB159-1,GB159,1,present
GB160-0,GB160,0,absent
GB160-1,GB160,1,present
GB165-0,GB165,0,absent
GB165-1,GB165,1,present
GB166-0,GB166,0,absent
GB166-1,GB166,1,present
GB167-0,GB167,0,absent
GB167-1,GB167,1,present
GB170-0,GB170,0,absent
GB170-1,GB170,1,present
GB171-0,GB171,0,absent
GB171-1,GB171,1,present
GB172-0,GB172,0,absent
GB172-1,GB172,1,present
GB177-0,GB177,0,absent
GB177-1,GB177,1,present
GB184-0,GB184,0,absent
GB184-1,GB184,1,present
GB185-0,GB185,0,absent
GB185-1,GB185,1,present
GB186-0,GB186,0,absent
GB186-1,GB186,1,present
GB187-0,GB187,0,absent
GB187-1,GB187,1,present
GB188-0,GB188,0,absent
GB188-1,GB188,1,present
GB192-0,GB192,0,absent
GB192-1,GB192,1,present
GB193-0,GB193,0,they cannot be used attributively
GB193-1,GB193,1,ANM - N
GB193-2,GB193,2,N - ANM
GB193-3,GB193,3,both
GB196-0,GB196,0,absent
GB196-1,GB196,1,present
GB197-0,GB197,0,absent
GB197-1,GB197,1,present
GB198-0,GB198,0,absent
GB198-1,GB198,1,present
GB203-0,GB203,0,no UQ
GB203-1,GB203,1,UQ-N
GB203-2,GB203,2,N-UQ
GB203-3,GB203,3,both
GB204-0,GB204,0,absent
GB204-1,GB204,1,present
GB250-0,GB250,0,absent
GB250-1,GB250,1,present
GB252-0,GB252,0,absent
GB252-1,GB252,1,present
GB253-0,GB253,0,absent
GB253-1,GB253,1,present
GB254-0,GB254,0,absent
GB254-1,GB254,1,present
GB256-0,GB256,0,absent
GB256-1,GB256,1,present
GB257-0,GB257,0,absent
GB257-1,GB257,1,present
GB260-0,GB260,0,absent
GB260-1,GB260,1,present
GB262-0,GB262,0,absent
GB262-1,GB262,1,present
GB263-0,GB263,0,absent
GB263-1,GB263,1,present
GB264-0,GB264,0,absent
GB264-1,GB264,1,present
GB265-0,GB265,0,absent
GB265-1,GB265,1,present
GB266-0,GB266,0,absent
GB266-1,GB266,1,present
GB270-0,GB270,0,absent
GB270-1,GB270,1,present
GB273-0,GB273,0,absent
GB273-1,GB273,1,present
GB275-0,GB275,0,absent
GB275-1,GB275,1,present
GB276-0,GB276,0,absent
GB276-1,GB276,1,present
GB285-0,GB285,0,absent
GB285-1,GB285,1,present
GB286-0,GB286,0,absent
GB286-1,GB286,1,present
GB291-0,GB291,0,absent
GB291-1,GB291,1,present
GB296-0,GB296,0,absent
GB296-1,GB296,1,present
GB297-0,GB297,0,absent
GB297-1,GB297,1,present
GB298-0,GB298,0,absent
GB298-1,GB298,1,present
GB299-0,GB299,0,absent
GB299-1,GB299,1,present
GB300-0,GB300,0,absent
GB300-1,GB300,1,present
GB301-0,GB301,0,absent
GB301-1,GB301,1,present
GB302-0,GB302,0,absent
GB302-1,GB302,1,present
GB303-0,GB303,0,absent
GB303-1,GB303,1,present
GB304-0,GB304,0,absent
GB304-1,GB304,1,present
GB305-0,GB305,0,absent
GB305-1,GB305,1,present
GB306-0,GB306,0,absent
GB306-1,GB306,1,present
GB309-0,GB309,0,absent
GB309-1,GB309,1,present
GB312-0,GB312,0,absent
GB312-1,GB312,1,present
GB313-0,GB313,0,absent
GB313-1,GB313,1,present
GB314-0,GB314,0,absent
GB314-1,GB314,1,present
GB315-0,GB315,0,absent
GB315-1,GB315,1,present
GB316-0,GB316,0,absent
GB316-1,GB316,1,present
GB317-0,GB317,0,absent
GB317-1,GB317,1,present
GB318-0,GB318,0,absent
GB318-1,GB318,1,present
GB319-0,GB319,0,absent
GB319-1,GB319,1,present
GB320-0,GB320,0,absent
GB320-1,GB320,1,present
GB321-0,GB321,0,absent
GB321-1,GB321,1,present
GB322-0,GB322,0,absent
GB322-1,GB322,1,present
GB323-0,GB323,0,absent
GB323-1,GB323,1,present
GB324-0,GB324,0,absent
GB324-1,GB324,1,present
GB325-0,GB325,0,absent
GB325-1,GB325,1,present
GB326-0,GB326,0,absent
GB326-1,GB326,1,present
GB327-0,GB327,0,absent
GB327-1,GB327,1,present
GB328-0,GB328,0,absent
GB328-1,GB328,1,present
GB329-0,GB329,0,absent
GB329-1,GB329,1,present
GB330-0,GB330,0,absent
GB330-1,GB330,1,present
GB331-0,GB331,0,absent
GB331-1,GB331,1,present
GB333-0,GB333,0,absent
GB333-1,GB333,1,present
GB334-0,GB334,0,absent
GB334-1,GB334,1,present
GB335-0,GB335,0,absent
GB335-1,GB335,1,present
GB336-0,GB336,0,absent
GB336-1,GB336,1,present
GB400-0,GB400,0,absent
GB400-1,GB400,1,present
GB401-0,GB401,0,absent
GB401-1,GB401,1,present
GB402-0,GB402,0,absent
GB402-1,GB402,1,present
GB403-0,GB403,0,absent
GB403-1,GB403,1,present
GB408-0,GB408,0,absent
GB408-1,GB408,1,present
GB409-0,GB409,0,absent
GB409-1,GB409,1,present
GB410-0,GB410,0,absent
GB410-1,GB410,1,present
GB415-0,GB415,0,absent
GB415-1,GB415,1,present
GB421-0,GB421,0,absent
GB421-1,GB421,1,present
GB422-0,GB422,0,absent
GB422-1,GB422,1,present
GB430-0,GB430,0,absent
GB430-1,GB430,1,present
GB431-0,GB431,0,absent
GB431-1,GB431,1,present
GB432-0,GB432,0,absent
GB432-1,GB432,1,present
GB433-0,GB433,0,absent
GB433-1,GB433,1,present
GB519-0,GB519,0,absent
GB519-1,GB519,1,present
GB520-0,GB520,0,absent
GB520-1,GB520,1,present
GB521-0,GB521,0,absent
GB521-1,GB521,1,present
GB522-0,GB522,0,absent
GB522-1,GB522,1,present
