Grambank_ID	sahul_abbrev	Feature	Relevant unit(s)	Function	Form	Feature patron	Clarifying Comments	Possible Values	Value	Grambank_ID_desc	Definition	main_domain	word order	ENumLab	ELab	Eris_Categories
GB081	vinfix	Is there productive infixation in verbs?	verb, index	argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change	conjugation, infixation	Hannah	This affix must be stem-internal and dedicated to a particular purpose, either derivational or inflectional (see general definitions for more information on productivity and dedicated functions). In keeping with existing data, if the only infixation process described for a language involves reduplication, please code 0 but be sure to note in the comments field that infixing reduplication is present.	1: present, 0: absent	NA	GB081 VInfix	Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	verbal domain	NA	13	verb 6	13verb 6
GB079	vprefixaso	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	verb, index	argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change	conjugation, prefixation	Harald	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expressing more than one argument, relative markers or relative pronouns are also included here if they form a phonological unit with the root. The outcome of this affixation has to be a finite verb, i.e. an affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 151, 149, 82, 83, 84, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	1: present, 0: absent	NA	GB079 VPrefixing	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	verbal domain	NA	14	verb arguments 7	14verb arguments 7
GB092	aprefix	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena	Is there a phonologically bound A argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that precedes its verbal host (i.e. attaches to it as a prefix or a proclitic)?	1: present, 0: absent	NA	GB092 A-ArgPfxV	Is the A participant (at least sometimes) marked by a prefix/proclitic?	verbal domain	NA	14	verb arguments 4	14verb arguments 4
GB093	osuffix	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena	Is there a phonologically bound P argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that follows its verbal host (i.e. attaches to it as a suffix or an enclitic)?	1: present, 0: absent	NA	GB093 P-ArgSfxV	Is the O participant (at least sometimes) marked by a suffix/enclitic?	verbal domain	NA	14	verb arguments 5	14verb arguments 5
GB089	ssuffix	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena	Is there a phonologically bound S argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that follows its verbal host (i.e. attaches to it as a suffix or an enclitic)?	1: present, 0: absent	NA	GB089 S-ArgSfxV	Is the S participant (at least sometimes) marked by a suffix/enclitic?	verbal domain	NA	14	verb arguments 1	14verb arguments 1
GB090	sprefix	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena	Is there a phonologically bound S argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that precedes its verbal host (i.e. attaches to it as a prefix or a proclitic)?	1: present, 0: absent	NA	GB090 S-ArgPfxV	Is the S participant (at least sometimes) marked by a prefix/proclitic?	verbal domain	NA	14	verb arguments 2	14verb arguments 2
GB091	asuffix	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena	Is there a phonologically bound A argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that follows its verbal host (i.e. attaches to it as a suffix or an enclitic)?	1: present, 0: absent	NA	GB091 A-ArgSfxV	Is the A participant (at least sometimes) marked by a suffix/enclitic?	verbal domain	NA	14	verb arguments 3	14verb arguments 3
GB094	oprefix	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena	Is there a phonologically bound P argument [index](https://github.com/glottobank/Grambank/wiki/indexing) that precedes its verbal host (i.e. attaches to it as a prefix or a proclitic)?	1: present, 0: absent	NA	GB094 P-ArgPfxV	NA	verbal domain	NA	14	verb arguments 6	14verb arguments 6
GB098	vvarperson	Are variations in marking strategies of core participants based on person distinctions?	verb, index, pronoun	argument marking, core arguments, person, person, number, gender	flagging, indexing	Alena	"**ATTENTION! The interpretation/scope of this feature differs from the one in the previous version of the questionnaire.**<CR><CR>“Marking strategies of core participants” include both marking by [indexing](https://github.com/glottobank/Grambank/wiki/indexing) and/or by flagging. “Variations in marking strategies” include both variations in the alignment patterns, as well as variations in position (e.g. suffixing vs. prefixing) in case of indexes. Mere differences in forms of the indexes triggered by various conjugation classes are not sufficient for ""1"". This pattern includes cases referred to as person-based (alignment) split and hierarchical alignment in the literature."	1: present, 0: absent	NA	GB098 CaseSplitPerson	Are variations in marking strategies based on person distinctions?	verbal domain	NA	14	verb arguments 12	14verb arguments 12
GB095	vvartam	Are variations in marking strategies of core participants based on TAM distinctions?	verb, index	argument marking, core arguments, TAM, tense, aspect, mood, modality, person, number, gender	flagging, indexing	Alena	"**ATTENTION! The interpretation/scope of this feature differs from the one in the previous version of the questionnaire.**<CR><CR>“Marking strategies of core participants” include both marking by [indexing](https://github.com/glottobank/Grambank/wiki/indexing) and/or by flagging. “Variations in marking strategies” include both variations in the alignment patterns, as well as variations in position (e.g. suffixing vs. prefixing) in case of indexes. Mere differences in forms of the indexes triggered by various conjugation classes are not sufficient for ""1"". This pattern includes cases referred to as (alignment) split in the literature. <CR>Polarity (i.e. positive vs. negative distinction) does not count as a TAM category."	1: present, 0: absent	NA	GB095 CaseSplitTAM	Are variations in marking strategies of core participants based on TAM distinctions?	verbal domain	NA	14	verb arguments 10	14verb arguments 10
GB096	vvarvclass	Are variations in marking strategies of core participants based on verb classes?	verb, index	argument marking, core arguments, verb classification, person, number, gender	flagging, indexing	Alena	"Marking strategies include both marking by [indexing](https://github.com/glottobank/Grambank/wiki/indexing) and/or by flagging. The distinction between intransitive and transitive verbs is not included here. <CR>“Variations in marking strategies” include both variations in the alignment patterns, as well as variations in position (e.g. suffixing vs. prefixing) in case of indexes. <CR>Mere differences in forms of the indexes triggered by various conjugation classes are not sufficient for ""1"". <CR>For languages to be coded ""1"" the respective verb classes need to be of a substantial size (several dozens verbs or more) and ideally represent a productive pattern. <CR>The presence of verb classes whose members are often exhaustively listed in a descriptive grammar and are presented as an exceptional patterns does not qualify as ""1"". <CR>The patterns of interest is more common with intransitive verbs and include cases of the so-called active-inactive alignment (or simply: active or agentive-patientive or stative-active) in cases of differentially marked S argument. Some grammars use the terms unergative-unaccusative verbs. The pattern of interest is, however, not restricted to the S argument and variations in marking of A and P arguments are also included."	1: present, 0: absent	NA	GB096 CaseSplitVerbClass	Are variations in marking strategies based on verb classes?	verbal domain	NA	14	verb arguments 11	14verb arguments 11
GB105	recipientobj	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	noun, NP, verb, index, case marker	argument marking, core, oblique, verb classification, derivation	special construction, flagging, indexing, conjugation	Alena	"GB105 is concerned with both flagging (i.e. case and adposition marking) and indexing on the verb of the respective arguments. ""1"" is firstly triggered by flagging. Only if there is no overt flagging for the P argument and the recipient argument, indexing is considered. ""1"" includes both the ""double-object construction"" and the ""secondary-object construction"" of Haspelmath (2013).<CR><CR>Consider as ditransitive only verbs expressing physical transfer of possession or mental transfer of message (give, lend, hand, feed, send, bring, show, tell, teach).<CR><CR>Consider as ditransitive verbs which allow overt expression of an agent, a theme and a recipient/addressee arguments as separate NPs. The morphological marking of these arguments (e.g. dative case vs. adpositional marking) is irrelevant for counting a verb as ditransitive."	1: present, 0: absent	NA	GB105 CaseRecipientObj	Can recipients be treated as a transitive object, i.e. as Direct object?	clause	NA	NA	NA	NA
GB072	oblnpcase	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	noun, NP, case marker	argument marking, oblique	declension, flagging	Jakob	Morphological case involves any type of case marking (or flagging) that is phonologically bound (affixes, clitics, tone, alternation, vowel lengthening, ...). Oblique NPs are NPs having a function other than S, A or P, e.g. dative, locative, ablative instrumental, comitative, location in time, ... Note that genitive or possessive are not seen as cases in Grambank.	1: present, 0: absent	NA	GB072 ObliqueCaseNoun	Is there case marking for oblique nominal NPs ?	nominal domain	NA	10	Nom Core Morph 2	10Nom Core Morph 2
GB073	oblproncase	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	pronoun, case marker	argument marking, oblique	declension, flagging	Jakob	Are independent personal pronouns morphologically marked for oblique case (i.e. not S/A/P)? Morphological case involves any type of case marking (or flagging) that is phonologically bound (affixes, clitics, tone, alternation, vowel lengthening, ...). Oblique NPs are NPs having a function other than S, A or P, e.g. dative, locative, ablative instrumental, comitative, location in time, ... Note that genitive or possessive are not seen as cases in Grambank.	1: present, 0: absent	NA	GB073 ObliqueCasePRO	Is there case marking for oblique pronouns?	pronoun	NA	6	PRO6	6PRO6
GB108	vlocativedir	Is there directional or locative morphological marking on verbs?	verb	argument marking, oblique, applicative, valency change, derivation, valency increase	derivational morphology, conjugation	Jakob	This question concerns a bound verbal marker that signals the direction or location of the event/state/action that the predicate is referencing. If the marker can be free or bound, this also counts as 1.	1: present, 0: absent	NA	GB108 DirLocBoundV	Can locative or direction be morphologically marked on the verb?	verbal domain	NA	NA	NA	NA
GB027	coordcomit	Are nominal conjunction and comitative expressed by different elements?	adposition, case marker, NP	argument marking, oblique, conjunction, coordination, case marking, comitative	declension, flagging	Harald	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John with Mary went to market')? This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). In some languages the only way to do nominal coordination is with a comitative phrase, i.e., the only way to say X and Y is to say X with Y. This feature aims to capture such languages (which, as they have no difference between coordination and comitatives for nouns, get a 0). To see whether an element is comitative or coordinating check for case marking, agreement etc. For example, if X is the element in question and in the dative you get 'John-DAT X Mary-DAT' then X is likely coordinating, while if you get John-DAT X Mary then X is likely comitative. Or with agreement, if you get 'John X Mary verb-PL' rather than 'John X Mary verb-SG' (just like 'John X suitcase verb-SG') then that suggests X is likely coordinating.	1: present, 0: absent	NA	GB027 ComitConjDifferent	Is there a difference between the marking of NP coordination ('John and Mary went to market') and the marking of comitative phrases ('John went to market with Mary')?	clause	NA	11	Nom Morph 2	11Nom Morph 2
GB103	benmarkedv	Is there a benefactive applicative marker on the verb (including indexing)?	verb, index	argument marking, oblique, valency change, applicative, benefactive, derivation, valency increase	derivational morphology, conjugation	Jakob	"This question concerns a bound verbal marker that signals that the verb has a benefactive argument. The marker could be analyzed in the language-specific case as voice, [indexing](https://github.com/glottobank/Grambank/wiki/indexing) or a bound pronoun. The marker doesn't have to index the benefactor or benefactee. Serial-verb-constructions that include a marker of benefactive (typically the root for ""give"") do not count here."	1: present, 0: absent	NA	GB103 BenefApplBoundV	Are benefactive nominals marked on the verb?	verbal domain	NA	NA	NA	NA
GB104	instmarkedv	Is there an instrumental applicative marker on the verb (including indexing)?	verb, index	argument marking, oblique, valency change, applicative, instrumental, derivation, valency increase	derivational morphology, conjugation	Jakob	This question concerns a bound verbal marker that signals that the verb has an instrumental argument. The marker could be analysed in the language-specific case as voice, [indexing](https://github.com/glottobank/Grambank/wiki/indexing) or a bound pronoun. The marker doesn't have to index the instrument.	1: present, 0: absent	NA	GB104 AppInstrBoundV	Can instruments be marked on the verb?	verbal domain	NA	NA	NA	NA
GB026	discontnp	Can adnominal property words occur discontinuously?	adjective, clause, NP	attribution	word order, special construction	Harald	"This means that a restrictively interpreted adjective is separated from the noun by some element that is not part of the nominal. For example, can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent (i.e. the ""Australian type""). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"")."	1: present, 0: absent	NA	GB026 ADJDiscont	NA	nominal domain	NA	3	ADJ1	3ADJ1
GB193	NA	What is the order of adnominal property word and noun?	adjective, NP	attribution	word order	Jeremy	"Attributive nominal modifier is roughly equal to the old term ""adjective"", we want to include elements that mark ""adjectival"" function but that might not be described as ""adjectives"", see feature 69. The question concerns the pragmatically neutral order(s)."	multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively	NA	GB193 OrderADJ	NA	nominal domain	word order	3	ADJ9	3ADJ9
GB069	vlikeattradj	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	adjective, verb, index	attribution, TAM, tense, aspect, mood, modality, nominal classification, gender	declension, conjugation, indexing	Jeremy	Do elements expressing attributive adjectival meaning receive the same treatment as verbs when verbs are used attributively, i.e. inside an NP? The adjectival roots need not take exactly all verbal marking. If there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that is the way verbs are marked when used attributively. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.	1: present, 0: absent	NA	GB069 AttrAdjLikeV	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	nominal domain	NA	3	ADJ3	3ADJ3
GB065	orderposdposr	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	noun, NP, index	attributive possession, attribution	word order	Hannah	This feature focuses on the relative order of possessor and possessum in an adnominal possession construction. Coding should take into consideration only those possession constructions that are pragmatically unmarked (i.e. not focus). This feature applies to both pronominal and nominal possessors.	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	NA	GB065 POSSPosdPosrOrder	NA	nominal domain	word order	12	NP7	12NP7
GB059	inalien	Is the adnominal possessive construction different for alienable and inalienable nouns?	noun, NP	attributive possession, attribution, alienability	declension, special construction, particle	Hannah	Is there a morpho-syntactic difference in attributive possession that can be ascribed to alienability? <CR><CR>This feature applies to constructions with both pronominal and nominal possessors. <CR><CR>Typically, inalienable possession applies to the semantic domains of body parts and kinship, but it is sometimes found in other categories that don't align perfectly with the canonical notion of 'alienability', such as part-whole relationships other than body parts, social relationships other than kinship, or things inherently linked to a person (e.g. a person's voice, mental states, or other attributes).<CR><CR>This feature targets splits in possessive marking strategy where different classes of possessum are associated with different constructions, and where one of those possessum classes includes body parts and/or kinship terms, and possibly other categories that have strong semantic associations with their owners, social relationships, or part-whole relationships.	1: present, 0: absent	NA	GB059 POSSAlienability	Is alienable/inalienable a relevant distinction?	nominal domain	NA	7	POSS6	7POSS6
GB430	NA	Can adnominal possession be marked by a prefix on the possessor?	noun, NP, case marker, index	attributive possession, attribution, genitive	word order, flagging, prefixation	Hannah	This feature targets a specific type of adnominal possessive construction, namely one where a possessor (either nominal or pronominal) is marked with a prefix or proclitic to indicate possession of an object. This frequently takes the form of a genitive prefix on a possessor, but may also involve other types of prefixes or proclitics. Crucially, the possession must be marked by an element that precedes and is phonologically bound to the possessor nominal/pronominal.	1: present, 0: absent	NA	GB430 POSSPfxPosr	NA	nominal domain	NA	7	POSS1	7POSS1
GB431	NA	Can adnominal possession be marked by a prefix on the possessed noun?	noun, NP, case marker, index	attributive possession, attribution, genitive	word order, flagging, prefixation	Hannah	This feature targets a specific type of adnominal possessive construction, namely one where possession is marked by a prefix or proclitic on the possessed noun. In some cases, the morpheme that marks possession indexes agreement categories of the possessor. Crucially, the possession must be marked by an element that precedes and is phonologically bound to that possessed noun.	1: present, 0: absent	NA	GB431 POSSPfxPosd	NA	nominal domain	NA	7	POSS2	7POSS2
GB432	NA	Can adnominal possession be marked by a suffix on the possessor?	noun, NP, case marker, index	attributive possession, attribution, genitive	word order, flagging, suffixation	Hannah	This feature targets a specific type of adnominal possessive construction, namely one where a possessor (either nominal or pronominal) is marked with a suffix or enclitic to indicate possession of an object. This frequently takes the form of a genitive suffix on a possessor, but may also involve other types of suffixes or enclitics. Crucially, the possession must be marked by an element that follows and is phonologically bound to the possessor nominal/pronominal.	1: present, 0: absent	NA	GB432 POSSSfxPosr	NA	nominal domain	NA	7	POSS3	7POSS3
GB433	NA	Can adnominal possession be marked by a suffix on the possessed noun?	noun, NP, case marker, index	attributive possession, attribution, genitive	word order, flagging, suffixation	Hannah	This feature targets a specific type of adnominal possessive construction, namely one where possession is marked by a suffix or enclitic on the possessed noun. In some cases, the possessive suffix indexes agreement categories of the possessor. Crucially, the possession must be marked by a phonologically bound element that follows and is phonologically dependent on the possessed noun.	1: present, 0: absent	NA	GB433 POSSSfxPosd	NA	nominal domain	NA	7	POSS4	7POSS4
GB313	NA	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	pronoun	attributive possession, attribution, genitive	declension, flagging, paradigm	Hannah	This feature identifies phonologically independent possessive pronouns that are not formed by the application of regular possessive marking to more general pronominal forms. Instead, languages that qualify for a (1) code for this feature will form at least some possessive pronouns through some process other than the usual possessive marking, or, frequently, with suppletive forms. Note that special adnominal possessive pronouns are most commonly found in the 1st and 2nd person.<CR><CR>To qualify as 'special adnominal possessive pronouns', the possessive pronouns must not be identical to the pronominal forms used for core arguments. It is not necessary for the possessive pronouns to be dedicated solely to the function of possession, provided that the process through which it is formed is not a regular possession marking process in the language.	1: present, 0: absent	NA	GB313 PROPoss	NA	pronoun	NA	7	POSS7	7POSS7
GB058	possclassif	Are there possessive classifiers?	noun, classifier, NP	attributive possession, attribution, nominal classification	declension, paradigm, special construction, particle	Jeremy	This question concerns whether there exists an independent classifier system in possessive constructions that is not related to the other classifier systems such as the gender/noun class of the language or numeral classifiers. <CR><CR>We are concerned with markers that signal the nature of the possessor or the possessum (possessor classifiers/possessed classifiers), and the relationship between them (relational classifiers). This feature applies to both pronominal/nominal possessors and markers which are bound or free. Possessive classifiers need not be obligatory, it can also be possible to construct possessive phrases without possessive classifiers.<CR><CR>Differences in the expression of individual, joint, separate and group possession is not relevant here.	1: present, 0: absent	NA	GB058 POSSClassifier	Are there possessive classifiers?	nominal domain	NA	7	POSS5	7POSS5
GB155	affixcaus	Are causatives formed by affixes or clitics on verbs?	verb	causative, valency change, derivation, valency increase	affixation, derivational morphology	Jakob	A causative is a valency increasing operation that introduces a causer subject that makes a non-subject argument do or become something (e.g. 'x lies' -> 'y lay x' = 'y causes x to lie'). Note that both causatives adding an argument to a transitive clause (I drink milk -> x causes me to drink milk) and those adding an argument to an intransitive clause (I sit -> x causes me to sit) are targeted by this question. This question targets phonologically bound causative markers.	1: present, 0: absent	NA	GB155 CAUSBound	Are causatives formed by bound affixes/clitics?	verbal domain	NA	15	verb valency 7	15verb valency 7
GB156	sayconstcaus	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	verb, auxiliary, particle	causative, valency change, derivation, valency increase	special construction, derivational morphology	Jakob	A causative is a valency increasing operation that introduces a causer subject that makes a non-subject argument do or become something (e.g. 'x lies' -> 'y lay x' = 'y causes x to lie'). Note that both causatives adding an argument to a transitive clause (I drink milk -> x causes me to drink milk) and those adding an argument to an intransitive clause (I sit -> x causes me to sit) are included in this feature. This question targets causative constructions that feature an element that clearly originated as a verb that means or meant 'to say' (e.g. 'I said for the stone to fall' to mean 'I made the stone fall').	1: present, 0: absent	NA	GB156 CAUSSay	NA	clause	NA	27	Verb Clause 1	27Verb Clause 1
